episode,environment_return,learning_return,intrinsic_return,steps,epsilon,success,died,truncated,monster_moves
212,0.0,0.0,0.0,260,0.95991,0,1,0,0
213,0.0,0.0,0.0,89,0.95972,0,1,0,0
214,0.0,0.0,0.0,80,0.95953,0,1,0,0
215,0.0,0.0,0.0,47,0.95934,0,1,0,0
216,0.0,0.0,0.0,27,0.95915,0,1,0,0
217,0.0,0.0,0.0,19,0.95896,0,1,0,0
218,0.0,0.0,0.0,86,0.95877,0,1,0,0
219,0.0,0.0,0.0,80,0.95858,0,1,0,0
220,0.0,0.0,0.0,75,0.95839,0,1,0,0
221,0.0,0.0,0.0,59,0.9582,0,1,0,0
222,0.0,0.0,0.0,15,0.95801,0,1,0,0
223,0.0,0.0,0.0,90,0.95782,0,1,0,0
224,0.0,0.0,0.0,45,0.95763,0,1,0,0
225,0.0,0.0,0.0,19,0.95744,0,1,0,0
226,0.0,0.0,0.0,149,0.95725,0,1,0,0
227,0.0,0.0,0.0,57,0.95706,0,1,0,0
228,0.0,0.0,0.0,28,0.95687,0,1,0,0
229,0.0,0.0,0.0,114,0.95668,0,1,0,0
230,0.0,0.0,0.0,72,0.95649,0,1,0,0
231,1.0,1.0,0.0,130,0.9563,1,0,0,0
232,0.0,0.0,0.0,203,0.95611,0,1,0,0
233,0.0,0.0,0.0,19,0.95592,0,1,0,0
234,0.0,0.0,0.0,318,0.95573,0,1,0,0
235,0.0,0.0,0.0,137,0.9555400000000001,0,1,0,0
236,0.0,0.0,0.0,25,0.95535,0,1,0,0
237,0.0,0.0,0.0,165,0.95516,0,1,0,0
238,0.0,0.0,0.0,118,0.95497,0,1,0,0
239,0.0,0.0,0.0,117,0.95478,0,1,0,0
240,0.0,0.0,0.0,67,0.95459,0,1,0,0
241,0.0,0.0,0.0,32,0.9544,0,1,0,0
242,0.0,0.0,0.0,350,0.95421,0,0,1,0
243,0.0,0.0,0.0,68,0.95402,0,1,0,0
244,0.0,0.0,0.0,112,0.95383,0,1,0,0
245,0.0,0.0,0.0,62,0.95364,0,1,0,0
246,0.0,0.0,0.0,79,0.95345,0,1,0,0
247,0.0,0.0,0.0,77,0.95326,0,1,0,0
248,0.0,0.0,0.0,34,0.95307,0,1,0,0
249,0.0,0.0,0.0,65,0.95288,0,1,0,0
250,0.0,0.0,0.0,77,0.95269,0,1,0,0
251,0.0,0.0,0.0,29,0.9525,0,1,0,0
252,0.0,0.0,0.0,47,0.95231,0,1,0,0
253,1.0,1.0,0.0,80,0.95212,1,0,0,0
254,0.0,0.0,0.0,31,0.95193,0,1,0,0
255,0.0,0.0,0.0,115,0.95174,0,1,0,0
256,0.0,0.0,0.0,40,0.95155,0,1,0,0
257,0.0,0.0,0.0,54,0.95136,0,1,0,0
258,0.0,0.0,0.0,38,0.95117,0,1,0,0
259,0.0,0.0,0.0,36,0.95098,0,1,0,0
260,0.0,0.0,0.0,26,0.95079,0,1,0,0
261,0.0,0.0,0.0,47,0.9506,0,1,0,0
262,0.0,0.0,0.0,71,0.95041,0,1,0,0
263,0.0,0.0,0.0,44,0.95022,0,1,0,0
264,0.0,0.0,0.0,39,0.95003,0,1,0,0
265,0.0,0.0,0.0,17,0.94984,0,1,0,0
266,0.0,0.0,0.0,50,0.94965,0,1,0,0
267,0.0,0.0,0.0,19,0.94946,0,1,0,0
268,1.0,1.0,0.0,87,0.9492700000000001,1,0,0,0
269,0.0,0.0,0.0,198,0.94908,0,1,0,0
270,0.0,0.0,0.0,44,0.94889,0,1,0,0
271,0.0,0.0,0.0,14,0.9487,0,1,0,0
272,1.0,1.0,0.0,101,0.94851,1,0,0,0
273,0.0,0.0,0.0,20,0.94832,0,1,0,0
274,1.0,1.0,0.0,74,0.94813,1,0,0,0
275,0.0,0.0,0.0,54,0.94794,0,1,0,0
276,0.0,0.0,0.0,248,0.94775,0,1,0,0
277,0.0,0.0,0.0,18,0.94756,0,1,0,0
278,0.0,0.0,0.0,60,0.94737,0,1,0,0
279,0.0,0.0,0.0,20,0.94718,0,1,0,0
280,0.0,0.0,0.0,93,0.94699,0,1,0,0
281,0.0,0.0,0.0,91,0.9468,0,1,0,0
282,1.0,1.0,0.0,118,0.94661,1,0,0,0
283,0.0,0.0,0.0,201,0.94642,0,1,0,0
284,1.0,1.0,0.0,67,0.94623,1,0,0,0
285,0.0,0.0,0.0,96,0.94604,0,1,0,0
286,0.0,0.0,0.0,15,0.94585,0,1,0,0
287,0.0,0.0,0.0,31,0.94566,0,1,0,0
288,0.0,0.0,0.0,60,0.94547,0,1,0,0
289,0.0,0.0,0.0,81,0.94528,0,1,0,0
290,0.0,0.0,0.0,129,0.94509,0,1,0,0
291,0.0,0.0,0.0,87,0.9449,0,1,0,0
292,0.0,0.0,0.0,35,0.94471,0,1,0,0
293,0.0,0.0,0.0,48,0.94452,0,1,0,0
294,0.0,0.0,0.0,62,0.94433,0,1,0,0
295,0.0,0.0,0.0,38,0.94414,0,1,0,0
296,0.0,0.0,0.0,42,0.94395,0,1,0,0
297,0.0,0.0,0.0,247,0.94376,0,1,0,0
298,0.0,0.0,0.0,55,0.94357,0,1,0,0
299,0.0,0.0,0.0,39,0.94338,0,1,0,0
300,0.0,0.0,0.0,24,0.94319,0,1,0,0
301,0.0,0.0,0.0,63,0.9430000000000001,0,1,0,0
302,0.0,0.0,0.0,59,0.94281,0,1,0,0
